+2 Mace,メイス+2,めいすぷらすに,めいすぷらすに
Éomer of the Riddermark,騎士国のエオメル,りだーまーくのえおめる,りだーまーくのえおめる
"Éomer, King of Rohan",ローハンの王、エオメル,ろーはんのおうえおめる,ろーはんのおうえおめる
"Éomer, Marshal of Rohan",ローハンの軍団長、エオメル,ろーはんのぐんだんちょうえおめる,ろーはんのぐんだんちょうえおめる
"Éowyn, Fearless Knight",恐れを知らぬ騎士、エオウィン,おそれをしらぬきしえおうぃん,おそれをしらぬきしえおうぃん
"Éowyn, Lady of Rohan",ローハンの姫君、エオウィン,ろーはんのひめぎみえおうぃん,ろーはんのひめぎみえおうぃん
"Éowyn, Shieldmaiden",盾持つ乙女、エオウィン,たてもつおとめえおうぃん,たてもつおとめえおうぃん
A Display of My Dark Power,我が闇の力の一片を見せよう,わがやみのちからのいっぺんをみせよう,わがやみのちからのいっぺんをみせよう
A Killer Among Us,犯人はこの中にいる,はんにんはこのなかにいる,はんにんわこのなかにいる
A Little Chat,耳打ち,みみうち,みみうち
A Premonition of Your Demise,貴様の終焉の前兆,きさまのしゅうえんのぜんちょう,きさまのしゅうえんのぜんちょう
A Tale for the Ages,歴史に刻む物語,れきしにきざむものがたり,れきしにきざむものがたり
Aether Adept,霊気の達人,れいきのたつじん,れいきのたつじん
Aether Barrier,上天の障壁,じょうてんのしょうへき,じょうてんのしょうへき
Aether Burst,霊気の噴出,れいきのふんしゅつ,れいきのふんしゅつ
Aether Charge,霊気の突進,れいきのとっしん,れいきのとっしん
Aether Figment,霊気の想像体,れいきのそうぞうたい,れいきのそうぞうたい
Aether Flash,上天の閃光,じょうてんのせんこう,じょうてんのせんこう
Aether Gale,霊気の突風,れいきのとっぷう,れいきのとっぷう
Aether Membrane,霊気の皮膜,れいきのひまく,れいきのひまく
Aether Mutation,上天の突然変異,じょうてんのとつぜんへんい,じょうてんのとつぜんへんい
Aether Rift,上天の裂け目,じょうてんのさけめ,じょうてんのさけめ
Aether Searcher,霊気探知機,れいきたんちき,れいきたんちき
Aether Shockwave,霊気の衝撃波,れいきのしょうげきは,れいきのしょうげきは
Aether Snap,霊気の断絶,れいきのだんぜつ,れいきのだんぜつ
Aether Spellbomb,上天の呪文爆弾,じょうてんのじゅもんばくだん,じょうてんのじゅもんばくだん
Aether Sting,上天の一刺し,じょうてんのひとさし,じょうてんのひとさし
Aether Storm,上天の嵐,じょうてんのあらし,じょうてんのあらし
Aether Tide,上天の潮流,じょうてんのちょうりゅう,じょうてんのちょうりゅう
Aether Tradewinds,上天の貿易風,じょうてんのぼうえきふう,じょうてんのぼうえきふう
Aether Vial,霊気の薬瓶,れいきのくすりびん,れいきのくすりびん
Aether Web,霊気の網,れいきのあみ,れいきのあみ
Aetherflame Wall,霊気炎の壁,れいきえんのかべ,れいきえんのかべ
Aetherling,霊異種,れいいしゅ,れいいしゅ
Aethermage's Touch,霊気魔道士の接触,れいきまどうしのせっしょく,れいきまどうしのせっしょく
Aetherplasm,霊気の原形質,れいきのげんけいしつ,れいきのげんけいしつ
Aethersnatch,霊気奪い,れいきうばい,れいきうばい
Aethersnipe,霊気撃ち,れいきうち,れいきうち
Aethertow,引き霊気,ひきれいき,ひきれいき
Aarakocra Sneak,アーラコクラの隠密,あーらこくらのおんみつ,あーらこくらのおんみつ
Abaddon the Despoiler,強奪者、アバドン,ごうだつしゃあばどん,ごうだつしゃあばどん
Abandon Hope,断念,だんねん,だんねん
Abandon Reason,自暴自棄,じぼうじき,じぼうじき
Abandon the Post,前哨地の放棄,ぜんしょうちのほうき,ぜんしょうちのほうき
Abandoned Campground,放棄されたキャンプ地,ほうきされたきゃんぷち,ほうきされたきゃんぷち
Abandoned Outpost,見捨てられた前哨地,みすてられたぜんしょうち,みすてられたぜんしょうち
Abandoned Sarcophagus,見捨てられた石棺,みすてられたせきかん,みすてられたせきかん
Abattoir Ghoul,肉切り屋のグール,にくきりやのぐーる,にくきりやのぐーる
Abbey Gargoyles,修道院のガーゴイル,しゅうどういんのがーごいる,しゅうどういんのがーごいる
Abbey Griffin,修道院のグリフィン,しゅうどういんのぐりふぃん,しゅうどういんのぐりふぃん
Abbot of Keral Keep,ケラル砦の修道院長,けらるとりでのしゅうどういんちょう,けらるとりでのしゅうどういんちょう
